编号,武将名,皮肤名,语音台词
100101,刘备,经典形象,spell31_1 惟贤惟德，能服于人。 | spell31_2 以德服人。 | spell32_1 尔等敢应战否？ | spell32_2 蜀将何在？ | charDead_1 这就是，桃园吗？ | spell31_1 惟贤惟德，能服于人。 | spell31_2 以德服人。 | spell32_1 尔等敢应战否？ | spell32_2 蜀将何在？ | charDead_1 这就是，桃园吗？ | spell31_1 惟贤惟德，能服于人。 | spell31_2 以德服人。 | charDead_1 这就是，桃园吗？
100201,关羽,经典形象,spell33_1 关羽在此，尔等受死！ | spell33_2 看尔乃插标卖首！ | charDead_2 什么？此地名叫麦城。 | spell701_1 此地一诀别，恩过自相抵。 | spell701_2 日后恩情消，今日情义绝。 | spell33_1 关羽在此，尔等受死！ | spell33_2 看尔乃插标卖首！ | charDead_2 什么？此地名叫麦城。 | spell33_1 关羽在此，尔等受死！ | spell33_2 看尔乃插标卖首！ | charDead_2 什么？此地名叫麦城。
100301,张飞,经典形象,spell34_1 啊！ | spell34_2 燕人张飞在此！ | charDead_3 实在是杀不动了。 | spell34_1 啊！ | spell34_2 燕人张飞在此！ | spell702_1 可曾识得，引君入瓮之计呀！ | spell702_2 大军已到，还不受死！ | charDead_3 实在是杀不动了。 | spell34_1 啊！ | spell34_2 燕人张飞在此！ | charDead_3 实在是杀不动了。
100401,诸葛亮,经典形象,spell35_1 知天易，逆天难。 | spell35_2 观今夜天象，知天下大事。 | spell36_1 （琴音悠扬） | spell36_2 （琴音低沉） | charDead_4 将星陨落，天命难违。 | spell35_1 知天易，逆天难。 | spell35_2 观今夜天象，知天下大事。 | spell36_1 （琴音悠扬） | spell36_2 （琴音低沉） | charDead_4 将星陨落，天命难违。
100501,赵云,经典形象,spell37_1 能进能退，乃真正法器！ | spell37_2 吾乃常山赵子龙也。 | charDead_5 这，就是失败的滋味儿吗？ | spell37_1 能进能退，乃真正法器！ | spell37_2 吾乃常山赵子龙也。 | spell703_1 南征北战，誓死相随！ | spell703_2 青釭银月，谁与争锋？ | charDead_5 这，就是失败的滋味儿吗？ | spell37_1 能进能退，乃真正法器！ | spell37_2 吾乃常山赵子龙也。 | charDead_5 这，就是失败的滋味儿吗？
100601,马超,经典形象,spell38_1 全军突击！ | spell38_2 （马蹄声） | charDead_6 （马蹄声） | spell38_1 全军突击！ | spell38_2 （马蹄声） | charDead_6 （马蹄声） | spell38_1 全军突击！ | spell38_2 （马蹄声） | charDead_6 （马蹄声）
100701,黄月英,经典形象,spell39_1 哼。 | spell39_2 哼哼。 | charDead_7 亮。 | spell39_1 哼。 | spell39_2 哼哼。 | charDead_7 亮。
100801,孙权,经典形象,spell53_1 容我三思。 | spell53_2 且慢！ | spell54_1 好舒服啊。 | spell54_2 有汝辅佐，甚好。 | charDead_8 父亲，大哥，仲谋愧矣。 | spell53_1 容我三思。 | spell53_2 且慢！ | spell54_1 好舒服啊。 | spell54_2 有汝辅佐，甚好。 | charDead_8 父亲，大哥，仲谋愧矣。 | spell53_1 容我三思。 | spell53_2 且慢！ | charDead_8 父亲，大哥，仲谋愧矣。
100901,甘宁,经典形象,spell57_1 接招吧！ | spell57_2 你的牌太多了！ | charDead_9 二十年后，又是一条好汉。 | spell57_1 接招吧！ | spell57_2 你的牌太多了！ | spell708_1 奋战无惧，展我军威！ | spell708_2 宁上不畏死，众将切莫迟疑！ | charDead_9 二十年后，又是一条好汉。 | spell57_1 接招吧！ | spell57_2 你的牌太多了！ | charDead_9 二十年后，又是一条好汉。
101001,吕蒙,经典形象,LvMengPo_KeJi_01 不是不报，时候未到。 | LvMengPo_KeJi_02 留得青山在，不怕没柴烧。 | LvMengPo_Dead 被看穿了吗？ | LvMengPo_KeJi_01 不是不报，时候未到。 | LvMengPo_KeJi_02 留得青山在，不怕没柴烧。 | LvMengPo_QinXue_01 乐学善思，将勤补拙。 | LvMengPo_QinXue_02 勤学不殆，致诸实用。 | LvMengPo_GongXin_01 料其图谋不轨，此战易得先机。 | LvMengPo_GongXin_02 夺敌心事，摆布于股掌之间。 | LvMengPo_Dead 被看穿了吗？ | LvMengPo_KeJi_01 不是不报，时候未到。 | LvMengPo_KeJi_02 留得青山在，不怕没柴烧。 | LvMengPo_MouDuan_01 当断不断，必受其乱！ | LvMengPo_MouDuan_02 识谋善断，国士之风。 | LvMengPo_Dead 被看穿了吗？
